21:51:28 | DEBUG   | eda.component          |   R2.1            offset_mm=(   0.00,  -3.81) dir=down
21:51:28 | DEBUG   | eda.component          |   R2.2            sym_mm=(   0.00,  -3.81) orient=90.0
21:51:28 | DEBUG   | eda.component          |   R2.2            offset_mm=(   0.00,   3.81) dir=up
21:51:28 | DEBUG   | eda.sheet              | [root] добавлен компонент R2
21:51:29 | DEBUG   | eda.kicad_source       | Пины MCU_ST_STM32F1:STM32F103R_C-D-E_Tx: 64 шт.
21:51:29 | DEBUG   | eda.component          |   U1.1   VBAT     sym_mm=(  -5.08,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.1   VBAT     offset_mm=(  -5.08, -48.26) dir=down
21:51:29 | DEBUG   | eda.component          |   U1.2   PC13     sym_mm=( -17.78, -12.70) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.2   PC13     offset_mm=( -17.78,  12.70) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.3   PC14     sym_mm=( -17.78, -15.24) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.3   PC14     offset_mm=( -17.78,  15.24) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.4   PC15     sym_mm=( -17.78, -17.78) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.4   PC15     offset_mm=( -17.78,  17.78) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.5   PD0      sym_mm=( -17.78,  30.48) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.5   PD0      offset_mm=( -17.78, -30.48) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.6   PD1      sym_mm=( -17.78,  27.94) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.6   PD1      offset_mm=( -17.78, -27.94) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.7   NRST     sym_mm=( -17.78,  40.64) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.7   NRST     offset_mm=( -17.78, -40.64) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.8   PC0      sym_mm=( -17.78,  20.32) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.8   PC0      offset_mm=( -17.78, -20.32) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.9   PC1      sym_mm=( -17.78,  17.78) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.9   PC1      offset_mm=( -17.78, -17.78) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.10  PC2      sym_mm=( -17.78,  15.24) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.10  PC2      offset_mm=( -17.78, -15.24) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.11  PC3      sym_mm=( -17.78,  12.70) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.11  PC3      offset_mm=( -17.78, -12.70) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.12  VSSA     sym_mm=(   2.54, -48.26) orient=90.0
21:51:29 | DEBUG   | eda.component          |   U1.12  VSSA     offset_mm=(   2.54,  48.26) dir=up
21:51:29 | DEBUG   | eda.component          |   U1.13  VDDA     sym_mm=(   7.62,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.13  VDDA     offset_mm=(   7.62, -48.26) dir=down
21:51:29 | DEBUG   | eda.component          |   U1.14  PA0      sym_mm=(  17.78,  40.64) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.14  PA0      offset_mm=(  17.78, -40.64) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.15  PA1      sym_mm=(  17.78,  38.10) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.15  PA1      offset_mm=(  17.78, -38.10) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.16  PA2      sym_mm=(  17.78,  35.56) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.16  PA2      offset_mm=(  17.78, -35.56) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.17  PA3      sym_mm=(  17.78,  33.02) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.17  PA3      offset_mm=(  17.78, -33.02) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.18  VSS      sym_mm=(   0.00, -48.26) orient=90.0
21:51:29 | DEBUG   | eda.component          |   U1.18  VSS      offset_mm=(   0.00,  48.26) dir=up
21:51:29 | DEBUG   | eda.component          |   U1.19  VDD      sym_mm=(  -2.54,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.19  VDD      offset_mm=(  -2.54, -48.26) dir=down
21:51:29 | DEBUG   | eda.component          |   U1.20  PA4      sym_mm=(  17.78,  30.48) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.20  PA4      offset_mm=(  17.78, -30.48) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.21  PA5      sym_mm=(  17.78,  27.94) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.21  PA5      offset_mm=(  17.78, -27.94) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.22  PA6      sym_mm=(  17.78,  25.40) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.22  PA6      offset_mm=(  17.78, -25.40) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.23  PA7      sym_mm=(  17.78,  22.86) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.23  PA7      offset_mm=(  17.78, -22.86) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.24  PC4      sym_mm=( -17.78,  10.16) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.24  PC4      offset_mm=( -17.78, -10.16) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.25  PC5      sym_mm=( -17.78,   7.62) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.25  PC5      offset_mm=( -17.78,  -7.62) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.26  PB0      sym_mm=(  17.78,  -2.54) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.26  PB0      offset_mm=(  17.78,   2.54) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.27  PB1      sym_mm=(  17.78,  -5.08) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.27  PB1      offset_mm=(  17.78,   5.08) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.28  PB2      sym_mm=(  17.78,  -7.62) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.28  PB2      offset_mm=(  17.78,   7.62) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.29  PB10     sym_mm=(  17.78, -27.94) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.29  PB10     offset_mm=(  17.78,  27.94) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.30  PB11     sym_mm=(  17.78, -30.48) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.30  PB11     offset_mm=(  17.78,  30.48) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.31  VSS      sym_mm=(   0.00, -48.26) orient=90.0
21:51:29 | DEBUG   | eda.component          |   U1.31  VSS      offset_mm=(   0.00,  48.26) dir=up
21:51:29 | DEBUG   | eda.component          |   U1.32  VDD      sym_mm=(   0.00,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.32  VDD      offset_mm=(   0.00, -48.26) dir=down
21:51:29 | DEBUG   | eda.component          |   U1.33  PB12     sym_mm=(  17.78, -33.02) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.33  PB12     offset_mm=(  17.78,  33.02) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.34  PB13     sym_mm=(  17.78, -35.56) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.34  PB13     offset_mm=(  17.78,  35.56) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.35  PB14     sym_mm=(  17.78, -38.10) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.35  PB14     offset_mm=(  17.78,  38.10) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.36  PB15     sym_mm=(  17.78, -40.64) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.36  PB15     offset_mm=(  17.78,  40.64) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.37  PC6      sym_mm=( -17.78,   5.08) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.37  PC6      offset_mm=( -17.78,  -5.08) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.38  PC7      sym_mm=( -17.78,   2.54) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.38  PC7      offset_mm=( -17.78,  -2.54) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.39  PC8      sym_mm=( -17.78,   0.00) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.39  PC8      offset_mm=( -17.78,   0.00) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.40  PC9      sym_mm=( -17.78,  -2.54) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.40  PC9      offset_mm=( -17.78,   2.54) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.41  PA8      sym_mm=(  17.78,  20.32) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.41  PA8      offset_mm=(  17.78, -20.32) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.42  PA9      sym_mm=(  17.78,  17.78) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.42  PA9      offset_mm=(  17.78, -17.78) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.43  PA10     sym_mm=(  17.78,  15.24) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.43  PA10     offset_mm=(  17.78, -15.24) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.44  PA11     sym_mm=(  17.78,  12.70) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.44  PA11     offset_mm=(  17.78, -12.70) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.45  PA12     sym_mm=(  17.78,  10.16) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.45  PA12     offset_mm=(  17.78, -10.16) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.46  PA13     sym_mm=(  17.78,   7.62) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.46  PA13     offset_mm=(  17.78,  -7.62) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.47  VSS      sym_mm=(   0.00, -48.26) orient=90.0
21:51:29 | DEBUG   | eda.component          |   U1.47  VSS      offset_mm=(   0.00,  48.26) dir=up
21:51:29 | DEBUG   | eda.component          |   U1.48  VDD      sym_mm=(   2.54,  48.26) orient=270.0
21:51:29 | DEBUG   | eda.component          |   U1.48  VDD      offset_mm=(   2.54, -48.26) dir=down
21:51:29 | DEBUG   | eda.component          |   U1.49  PA14     sym_mm=(  17.78,   5.08) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.49  PA14     offset_mm=(  17.78,  -5.08) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.50  PA15     sym_mm=(  17.78,   2.54) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.50  PA15     offset_mm=(  17.78,  -2.54) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.51  PC10     sym_mm=( -17.78,  -5.08) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.51  PC10     offset_mm=( -17.78,   5.08) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.52  PC11     sym_mm=( -17.78,  -7.62) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.52  PC11     offset_mm=( -17.78,   7.62) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.53  PC12     sym_mm=( -17.78, -10.16) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.53  PC12     offset_mm=( -17.78,  10.16) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.54  PD2      sym_mm=( -17.78,  25.40) orient=0.0
21:51:29 | DEBUG   | eda.component          |   U1.54  PD2      offset_mm=( -17.78, -25.40) dir=right
21:51:29 | DEBUG   | eda.component          |   U1.55  PB3      sym_mm=(  17.78, -10.16) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.55  PB3      offset_mm=(  17.78,  10.16) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.56  PB4      sym_mm=(  17.78, -12.70) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.56  PB4      offset_mm=(  17.78,  12.70) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.57  PB5      sym_mm=(  17.78, -15.24) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.57  PB5      offset_mm=(  17.78,  15.24) dir=left
21:51:29 | DEBUG   | eda.component          |   U1.58  PB6      sym_mm=(  17.78, -17.78) orient=180.0
21:51:29 | DEBUG   | eda.component          |   U1.58  PB6      offset_mm=(  17.78,  17.78) dir=left
