20:57:05 | INFO    | eda.router_impl        | [X_PWR] router created cells=1068 search=bfs
20:57:05 | INFO    | eda.router_impl        | [X_PWR] routing nets=109
20:57:05 | DEBUG   | eda.router_impl        | [X_PWR] [VCC_12V] pins=L1:2, D2:2, C1:1, C2:1, C20:1, C3:1, U6:1, C11:1, PORT_VCC_12V:1
20:57:05 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [D2] [2] connect D2:2 → C1:1
20:57:05 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs Cell(col=33, row=104) → Cell(col=29, row=120)
20:57:05 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs done steps=819 cells=21
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [D2] [2] stub_in page=(40.64,132.08) dir=right steps=1 tip=Cell(col=33, row=104) tip_page=(41.91,132.08)
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [D2] [2] route left ×1, down ×1, left ×3, down ×15
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [D2] [2] wire D2:2 -> C1:1 segments=4 cells=23
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C1] [1] stub_out page=(36.83,153.67) dir=up steps=1 tip=Cell(col=29, row=120) tip_page=(36.83,152.40)
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C1] [1] route left ×1, down ×1, left ×3, down ×15
20:57:05 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C1] [1] wire D2:2 -> C1:1 segments=4 cells=23
20:57:05 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] seed_pair D2:2 → C1:1
20:57:05 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [L1] [2] t_connect
20:57:05 | DEBUG   | eda.router_impl        | [X_PWR] [VCC_12V] [L1] [2] t_connect candidates=24 tries=5
20:57:05 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs Cell(col=75, row=64) → Cell(col=33, row=104)
20:57:06 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs done steps=12480 cells=83
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [L1] [2] t_junction target=Cell(col=33, row=104) try=1
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [L1] [2] stub_in page=(95.25,80.01) dir=down steps=1 tip=Cell(col=75, row=64) tip_page=(95.25,81.28)
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [L1] [2] route left ×42, down ×40
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [L1] [2] wire L1:2 -> T segments=2 cells=84
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [-] [L1] [2] t_junction recorded net=VCC_12V target=Cell(col=33, row=104) host=D2:2 -> C1:1
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [L1] [2] ok t_junction=?
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C2] [1] t_connect
20:57:06 | DEBUG   | eda.router_impl        | [X_PWR] [VCC_12V] [C2] [1] t_connect candidates=108 tries=5
20:57:06 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs Cell(col=132, row=100) → Cell(col=75, row=64)
20:57:06 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs done steps=14979 cells=94
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C2] [1] t_junction target=Cell(col=75, row=64) try=1
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C2] [1] stub_in page=(167.64,128.27) dir=up steps=1 tip=Cell(col=132, row=100) tip_page=(167.64,127.00)
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C2] [1] route left ×57, up ×36
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C2] [1] wire C2:1 -> T segments=2 cells=95
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [-] [C2] [1] t_junction recorded net=VCC_12V target=Cell(col=75, row=64) host=L1:2 -> T
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C2] [1] ok t_junction=?
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C20] [1] t_connect
20:57:06 | DEBUG   | eda.router_impl        | [X_PWR] [VCC_12V] [C20] [1] t_connect candidates=203 tries=5
20:57:06 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs Cell(col=95, row=99) → Cell(col=95, row=100)
20:57:06 | DEBUG   | eda.router_pathfind    | [X_PWR] [VCC_12V] bfs done steps=5 cells=2
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C20] [1] t_junction target=Cell(col=95, row=100) try=1
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C20] [1] stub_in page=(120.65,128.27) dir=up steps=2 tip=Cell(col=95, row=99) tip_page=(120.65,125.73)
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C20] [1] route down ×1
20:57:06 | INFO    | eda.router_logging     | [X_PWR] [VCC_12V] [C20] [1] wire C20:1 -> T segments=1 cells=4
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [-] [C20] [1] t_junction recorded net=VCC_12V target=Cell(col=95, row=100) host=C2:1 -> T
20:57:06 | INFO    | eda.router_impl        | [X_PWR] [VCC_12V] [C20] [1] ok t_junction=?
