15:45:34 | INFO    | eda.router             | [root] router created cells=6185 search=bfs
15:45:34 | INFO    | eda.router             | [root] router field cols=[-78..328] rows=[-43..187]
15:45:34 | INFO    | eda.router             | [root] routing nets=109
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] pins=X_PWR:VCC_12V, X_SEN_CABIN:VCC_12V, X_OUT:VCC_12V, X_ACT:VCC_12V, X_PWR:VCC_12V, X_SEN_CABIN:VCC_12V, X_OUT:VCC_12V, X_ACT:VCC_12V
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] connect X_PWR:VCC_12V → X_SEN_CABIN:VCC_12V
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs Cell(col=19, row=79) → Cell(col=151, row=26)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs done steps=44269 cells=186
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] stub_in page=(3.81,100.33) dir=right steps=1 tip=Cell(col=19, row=79) tip_page=(24.13,100.33)
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] route right ×7, up ×15, right ×125, up ×38
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] wire X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V segments=4 cells=188
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_SEN_CABIN] [VCC_12V] stub_out page=(171.45,33.02) dir=right steps=1 tip=Cell(col=151, row=26) tip_page=(191.77,33.02)
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_SEN_CABIN] [VCC_12V] route right ×7, up ×15, right ×125, up ×38
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_SEN_CABIN] [VCC_12V] wire X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V segments=4 cells=188
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] ok segments=4
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] t_connect candidates=189 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs Cell(col=79, row=24) → Cell(col=79, row=64)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs done steps=2697 cells=41
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] t_junction target=Cell(col=79, row=64) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] stub_in page=(80.01,30.48) dir=right steps=1 tip=Cell(col=79, row=24) tip_page=(100.33,30.48)
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] route down ×40
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] wire X_OUT:VCC_12V -> T segments=1 cells=42
15:45:34 | INFO    | eda.router             | [root] [-] [X_OUT] [VCC_12V] t_junction recorded net=VCC_12V target=Cell(col=79, row=64) host=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_OUT] [VCC_12V] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] t_connect candidates=230 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs Cell(col=49, row=5) → Cell(col=79, row=24)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs done steps=3718 cells=50
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] t_junction target=Cell(col=79, row=24) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] stub_in page=(41.91,6.35) dir=right steps=1 tip=Cell(col=49, row=5) tip_page=(62.23,6.35)
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] route right ×30, down ×19
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] wire X_ACT:VCC_12V -> T segments=2 cells=51
15:45:34 | INFO    | eda.router             | [root] [-] [X_ACT] [VCC_12V] t_junction recorded net=VCC_12V target=Cell(col=79, row=24) host=X_OUT:VCC_12V -> T
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_ACT] [VCC_12V] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] t_connect candidates=281 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs Cell(col=3, row=79) → Cell(col=19, row=79)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs done steps=775 cells=25
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] t_junction target=Cell(col=19, row=79) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] route left ×1, up ×3, right ×17, down ×3
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] wire X_PWR:VCC_12V -> T segments=4 cells=25
15:45:34 | INFO    | eda.router             | [root] [-] [X_PWR] [VCC_12V] t_junction recorded net=VCC_12V target=Cell(col=19, row=79) host=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_PWR] [VCC_12V] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_12V] [X_SEN_CABIN] [VCC_12V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] [X_SEN_CABIN] [VCC_12V] t_connect candidates=309 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs Cell(col=152, row=26) → Cell(col=151, row=26)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] bfs done steps=3 cells=2
